punt2(   0 ,   0 ) heeft buur punt2(   0 ,   0 ),  gevonden in    12 doorzochte knopen met afstand 0
punt2( 350 , 200 ) heeft buur punt2( 352 , 200 ),  gevonden in    31 doorzochte knopen met afstand 4
punt2( 350 , 250 ) heeft buur punt2( 349 , 252 ),  gevonden in    51 doorzochte knopen met afstand 5
punt2( 350 , 300 ) heeft buur punt2( 350 , 299 ),  gevonden in    27 doorzochte knopen met afstand 1
punt2( 350 , 350 ) heeft buur punt2( 349 , 351 ),  gevonden in    34 doorzochte knopen met afstand 2
punt2( 350 , 400 ) heeft buur punt2( 350 , 400 ),  gevonden in    23 doorzochte knopen met afstand 0
punt2( 350 , 450 ) heeft buur punt2( 349 , 450 ),  gevonden in    15 doorzochte knopen met afstand 1
punt2( 350 , 500 ) heeft buur punt2( 349 , 502 ),  gevonden in    40 doorzochte knopen met afstand 5
punt2( 350 , 550 ) heeft buur punt2( 351 , 552 ),  gevonden in    26 doorzochte knopen met afstand 5
punt2( 350 , 600 ) heeft buur punt2( 348 , 599 ),  gevonden in    23 doorzochte knopen met afstand 5
punt2( 350 , 650 ) heeft buur punt2( 350 , 648 ),  gevonden in    39 doorzochte knopen met afstand 4
punt2( 350 , 700 ) heeft buur punt2( 350 , 700 ),  gevonden in    28 doorzochte knopen met afstand 0
punt2( 350 , 750 ) heeft buur punt2( 350 , 749 ),  gevonden in    22 doorzochte knopen met afstand 1
punt2( 350 , 800 ) heeft buur punt2( 350 , 800 ),  gevonden in    21 doorzochte knopen met afstand 0
punt2( 350 , 850 ) heeft buur punt2( 349 , 849 ),  gevonden in    35 doorzochte knopen met afstand 2
punt2( 350 , 900 ) heeft buur punt2( 349 , 900 ),  gevonden in    20 doorzochte knopen met afstand 1
punt2( 350 , 950 ) heeft buur punt2( 350 , 951 ),  gevonden in    42 doorzochte knopen met afstand 1
punt2( 400 ,   0 ) heeft buur punt2( 402 ,   0 ),  gevonden in    13 doorzochte knopen met afstand 4
punt2( 400 ,  50 ) heeft buur punt2( 400 ,  50 ),  gevonden in    30 doorzochte knopen met afstand 0
punt2( 400 , 100 ) heeft buur punt2( 400 ,  99 ),  gevonden in    28 doorzochte knopen met afstand 1
punt2( 400 , 150 ) heeft buur punt2( 401 , 151 ),  gevonden in    27 doorzochte knopen met afstand 2
punt2( 400 , 200 ) heeft buur punt2( 399 , 201 ),  gevonden in    27 doorzochte knopen met afstand 2
punt2( 400 , 250 ) heeft buur punt2( 399 , 250 ),  gevonden in    23 doorzochte knopen met afstand 1
punt2( 400 , 300 ) heeft buur punt2( 398 , 300 ),  gevonden in    31 doorzochte knopen met afstand 4
punt2( 400 , 350 ) heeft buur punt2( 400 , 348 ),  gevonden in    23 doorzochte knopen met afstand 4
punt2( 400 , 400 ) heeft buur punt2( 400 , 400 ),  gevonden in    18 doorzochte knopen met afstand 0
punt2( 400 , 450 ) heeft buur punt2( 399 , 450 ),  gevonden in    19 doorzochte knopen met afstand 1
punt2( 400 , 500 ) heeft buur punt2( 400 , 501 ),  gevonden in    22 doorzochte knopen met afstand 1
punt2( 400 , 550 ) heeft buur punt2( 399 , 548 ),  gevonden in    46 doorzochte knopen met afstand 5
punt2( 400 , 600 ) heeft buur punt2( 400 , 598 ),  gevonden in    26 doorzochte knopen met afstand 4
punt2( 400 , 650 ) heeft buur punt2( 400 , 653 ),  gevonden in    30 doorzochte knopen met afstand 9
punt2( 400 , 700 ) heeft buur punt2( 402 , 699 ),  gevonden in    46 doorzochte knopen met afstand 5
punt2( 400 , 750 ) heeft buur punt2( 400 , 749 ),  gevonden in    24 doorzochte knopen met afstand 1
punt2( 400 , 800 ) heeft buur punt2( 402 , 802 ),  gevonden in    24 doorzochte knopen met afstand 8
punt2( 400 , 850 ) heeft buur punt2( 399 , 850 ),  gevonden in    27 doorzochte knopen met afstand 1
punt2( 400 , 900 ) heeft buur punt2( 399 , 901 ),  gevonden in    32 doorzochte knopen met afstand 2
punt2( 400 , 950 ) heeft buur punt2( 398 , 950 ),  gevonden in    35 doorzochte knopen met afstand 4
punt2( 450 ,   0 ) heeft buur punt2( 449 ,   0 ),  gevonden in    20 doorzochte knopen met afstand 1
punt2( 450 ,  50 ) heeft buur punt2( 446 ,  52 ),  gevonden in    37 doorzochte knopen met afstand 20
punt2( 450 , 100 ) heeft buur punt2( 451 , 100 ),  gevonden in    25 doorzochte knopen met afstand 1
punt2( 450 , 150 ) heeft buur punt2( 449 , 149 ),  gevonden in    25 doorzochte knopen met afstand 2
punt2( 450 , 200 ) heeft buur punt2( 451 , 201 ),  gevonden in    32 doorzochte knopen met afstand 2
punt2( 450 , 250 ) heeft buur punt2( 451 , 249 ),  gevonden in    17 doorzochte knopen met afstand 2
punt2( 450 , 300 ) heeft buur punt2( 450 , 300 ),  gevonden in    24 doorzochte knopen met afstand 0
punt2( 450 , 350 ) heeft buur punt2( 450 , 352 ),  gevonden in    22 doorzochte knopen met afstand 4
punt2( 450 , 400 ) heeft buur punt2( 451 , 402 ),  gevonden in    33 doorzochte knopen met afstand 5
punt2( 450 , 450 ) heeft buur punt2( 451 , 450 ),  gevonden in    26 doorzochte knopen met afstand 1
punt2( 450 , 500 ) heeft buur punt2( 450 , 500 ),  gevonden in    20 doorzochte knopen met afstand 0
punt2( 450 , 550 ) heeft buur punt2( 447 , 550 ),  gevonden in    37 doorzochte knopen met afstand 9
punt2( 450 , 600 ) heeft buur punt2( 451 , 601 ),  gevonden in    20 doorzochte knopen met afstand 2
punt2( 450 , 650 ) heeft buur punt2( 448 , 650 ),  gevonden in    30 doorzochte knopen met afstand 4
punt2( 450 , 700 ) heeft buur punt2( 451 , 701 ),  gevonden in    33 doorzochte knopen met afstand 2
punt2( 450 , 750 ) heeft buur punt2( 450 , 751 ),  gevonden in    21 doorzochte knopen met afstand 1
punt2( 450 , 800 ) heeft buur punt2( 450 , 800 ),  gevonden in    29 doorzochte knopen met afstand 0
punt2( 450 , 850 ) heeft buur punt2( 449 , 851 ),  gevonden in    28 doorzochte knopen met afstand 2
punt2( 450 , 900 ) heeft buur punt2( 450 , 899 ),  gevonden in    31 doorzochte knopen met afstand 1
punt2( 450 , 950 ) heeft buur punt2( 451 , 949 ),  gevonden in    24 doorzochte knopen met afstand 2
punt2( 500 ,   0 ) heeft buur punt2( 497 ,   0 ),  gevonden in    32 doorzochte knopen met afstand 9
punt2( 500 ,  50 ) heeft buur punt2( 498 ,  49 ),  gevonden in    30 doorzochte knopen met afstand 5
punt2( 500 , 100 ) heeft buur punt2( 500 ,  99 ),  gevonden in    31 doorzochte knopen met afstand 1
punt2( 500 , 150 ) heeft buur punt2( 502 , 150 ),  gevonden in    25 doorzochte knopen met afstand 4
punt2( 500 , 200 ) heeft buur punt2( 498 , 200 ),  gevonden in    22 doorzochte knopen met afstand 4
punt2( 500 , 250 ) heeft buur punt2( 500 , 252 ),  gevonden in    33 doorzochte knopen met afstand 4
punt2( 500 , 300 ) heeft buur punt2( 499 , 301 ),  gevonden in    20 doorzochte knopen met afstand 2
punt2( 500 , 350 ) heeft buur punt2( 500 , 348 ),  gevonden in    21 doorzochte knopen met afstand 4
punt2( 500 , 400 ) heeft buur punt2( 500 , 398 ),  gevonden in    33 doorzochte knopen met afstand 4
punt2( 500 , 450 ) heeft buur punt2( 500 , 450 ),  gevonden in    33 doorzochte knopen met afstand 0
punt2( 500 , 500 ) heeft buur punt2( 499 , 500 ),  gevonden in    24 doorzochte knopen met afstand 1
punt2( 500 , 550 ) heeft buur punt2( 500 , 549 ),  gevonden in    19 doorzochte knopen met afstand 1
punt2( 500 , 600 ) heeft buur punt2( 502 , 598 ),  gevonden in    37 doorzochte knopen met afstand 8
punt2( 500 , 650 ) heeft buur punt2( 499 , 650 ),  gevonden in    21 doorzochte knopen met afstand 1
punt2( 500 , 700 ) heeft buur punt2( 499 , 699 ),  gevonden in    32 doorzochte knopen met afstand 2
punt2( 500 , 750 ) heeft buur punt2( 499 , 748 ),  gevonden in    36 doorzochte knopen met afstand 5
punt2( 500 , 800 ) heeft buur punt2( 498 , 801 ),  gevonden in    37 doorzochte knopen met afstand 5
punt2( 500 , 850 ) heeft buur punt2( 500 , 851 ),  gevonden in    20 doorzochte knopen met afstand 1
punt2( 500 , 900 ) heeft buur punt2( 499 , 898 ),  gevonden in    37 doorzochte knopen met afstand 5
punt2( 500 , 950 ) heeft buur punt2( 500 , 951 ),  gevonden in    26 doorzochte knopen met afstand 1
punt2( 550 ,   0 ) heeft buur punt2( 551 ,   2 ),  gevonden in    38 doorzochte knopen met afstand 5
punt2( 550 ,  50 ) heeft buur punt2( 550 ,  49 ),  gevonden in    27 doorzochte knopen met afstand 1
punt2( 550 , 100 ) heeft buur punt2( 551 ,  97 ),  gevonden in    37 doorzochte knopen met afstand 10
punt2( 550 , 150 ) heeft buur punt2( 551 , 150 ),  gevonden in    20 doorzochte knopen met afstand 1
